idx,classical_chamfer_l2,classical_chamfer_l1,classical_hausdorff,classical_hausdorff95,classical_normal_consistency,global_chamfer_l2,global_chamfer_l1,global_hausdorff,global_hausdorff95,global_normal_consistency,learned_chamfer_l2,learned_chamfer_l1,learned_hausdorff,learned_hausdorff95,learned_normal_consistency
50,0.0032880615908652544,0.020994704216718674,0.27242779273784085,0.12415468692779541,0.967206597328186,0.0030244519002735615,0.019629959017038345,0.27242779273784085,0.10821471363306046,0.967970073223114,0.0018146878574043512,0.01641870103776455,0.266650171005642,0.05241303890943527,0.9754802584648132
51,0.005413596518337727,0.020170005038380623,0.33812990701538137,0.19784805178642273,0.9701967239379883,0.005373773165047169,0.020428456366062164,0.33812990701538137,0.19011783599853516,0.9565364718437195,0.0051629371009767056,0.01907569169998169,0.3289675114136255,0.1947101652622223,0.9764969348907471
52,0.011886460706591606,0.030785446986556053,0.4863958962646963,0.30796018242836,0.9688762426376343,0.009730082005262375,0.027031850069761276,0.4863958962646963,0.2781112790107727,0.9637879729270935,0.004770859610289335,0.01777183637022972,0.47688770142285236,0.13222411274909973,0.9739083051681519
53,0.003252805909141898,0.024725060909986496,0.25652477140328156,0.08900323510169983,0.9493952989578247,0.00282633607275784,0.021435100585222244,0.25652477140328156,0.08241841197013855,0.9406101107597351,0.0013301715953275561,0.014680160209536552,0.247323498273347,0.03271302208304405,0.9742798805236816
54,0.011100433766841888,0.04159841313958168,0.4033485384247746,0.26929420232772827,0.8859878778457642,0.009449055418372154,0.03681427240371704,0.4033485384247746,0.253426194190979,0.8772056698799133,0.007431514095515013,0.0321858748793602,0.3971440882335373,0.2144145518541336,0.8878376483917236
55,0.0034340927377343178,0.027296122163534164,0.2304754741140385,0.10946104675531387,0.9384800791740417,0.0028700795955955982,0.022760653868317604,0.22845014628461804,0.07415299117565155,0.9405204057693481,0.0017077528173103929,0.01871659606695175,0.22351550894570563,0.03539063781499863,0.9640469551086426
56,0.00315714068710804,0.018357308581471443,0.267078252955802,0.12758663296699524,0.9716991782188416,0.002707475097849965,0.01634098030626774,0.2663147749706289,0.0989968329668045,0.9756675362586975,0.0016790174413472414,0.013062659651041031,0.25755506725273447,0.027268381789326668,0.9798036813735962
57,0.012670169584453106,0.03298000991344452,0.4600067763762372,0.3103415369987488,0.9223241806030273,0.011539311148226261,0.03099113516509533,0.4600067763762372,0.2987922430038452,0.9048101305961609,0.009041824378073215,0.024190038442611694,0.4374481408854823,0.2714434564113617,0.9444732069969177
58,0.011783231981098652,0.03046775422990322,0.45121168811396495,0.31734639406204224,0.9669473171234131,0.011158918030560017,0.03078411892056465,0.44963187419100215,0.30512169003486633,0.9617840647697449,0.005094435997307301,0.017140107229351997,0.42941379499570237,0.14967940747737885,0.9850378632545471
59,0.004148992709815502,0.029335353523492813,0.24495640074820885,0.15643984079360962,0.9016691446304321,0.003465230343863368,0.02513067238032818,0.24495640074820885,0.14331984519958496,0.8999409079551697,0.002778848400339484,0.022820519283413887,0.24865455981825108,0.12935343384742737,0.915226936340332
